date,group,landing_page,total_users,total_conversions,conversion_rate
2017-01-02,control,old_page,2859,359,0.12556838055264077
2017-01-02,treatment,new_page,2853,342,0.11987381703470032
2017-01-03,control,old_page,6590,750,0.11380880121396054
2017-01-03,treatment,new_page,6618,753,0.11378059836808703
2017-01-04,control,old_page,6578,802,0.12192155670416539
2017-01-04,treatment,new_page,6541,763,0.11664883045405901
2017-01-05,control,old_page,6427,792,0.12323012291893574
2017-01-05,treatment,new_page,6505,748,0.11498847040737895
2017-01-06,control,old_page,6606,762,0.11534968210717529
2017-01-06,treatment,new_page,6747,833,0.1234622795316437
2017-01-07,control,old_page,6604,799,0.12098728043609934
2017-01-07,treatment,new_page,6609,768,0.11620517476168861
2017-01-08,control,old_page,6687,795,0.11888739344997756
2017-01-08,treatment,new_page,6700,809,0.12074626865671642
2017-01-09,control,old_page,6628,793,0.1196439348219674
2017-01-09,treatment,new_page,6615,781,0.1180650037792895
2017-01-10,control,old_page,6654,751,0.11286444244063722
2017-01-10,treatment,new_page,6696,846,0.12634408602150538
2017-01-11,control,old_page,6688,795,0.11886961722488039
2017-01-11,treatment,new_page,6673,768,0.11509066386932414
2017-01-12,control,old_page,6522,796,0.12204845139527752
2017-01-12,treatment,new_page,6637,812,0.12234443272562905
2017-01-13,control,old_page,6552,766,0.11691086691086691
2017-01-13,treatment,new_page,6508,724,0.11124769514443761
2017-01-14,control,old_page,6548,830,0.12675626145387905
2017-01-14,treatment,new_page,6599,787,0.11926049401424459
2017-01-15,control,old_page,6714,809,0.1204944891271969
2017-01-15,treatment,new_page,6549,743,0.1134524354863338
2017-01-16,control,old_page,6591,803,0.12183280230617509
2017-01-16,treatment,new_page,6545,780,0.11917494270435447
2017-01-17,control,old_page,6617,813,0.12286534683391265
2017-01-17,treatment,new_page,6538,832,0.1272560416029367
2017-01-18,control,old_page,6482,809,0.1248071582844801
2017-01-18,treatment,new_page,6603,824,0.12479176132061184
2017-01-19,control,old_page,6578,789,0.11994527211918517
2017-01-19,treatment,new_page,6552,768,0.11721611721611722
2017-01-20,control,old_page,6534,753,0.11524334251606978
2017-01-20,treatment,new_page,6679,786,0.11768228776762989
2017-01-21,control,old_page,6749,850,0.12594458438287154
2017-01-21,treatment,new_page,6560,759,0.11570121951219513
2017-01-22,control,old_page,6596,786,0.11916312916919346
2017-01-22,treatment,new_page,6669,787,0.11800869695606538
2017-01-23,control,old_page,6716,844,0.12567004169148302
2017-01-23,treatment,new_page,6633,803,0.12106135986733002
2017-01-24,control,old_page,3754,443,0.11800745871070857
2017-01-24,treatment,new_page,3681,448,0.12170605813637599
