user_id,timestamp,group,landing_page,converted,date
851104,2017-01-21 22:11:48.556739,control,old_page,0,2017-01-21
804228,2017-01-12 08:01:45.159739,control,old_page,0,2017-01-12
661590,2017-01-11 16:55:06.154213,treatment,new_page,0,2017-01-11
853541,2017-01-08 18:28:03.143765,treatment,new_page,0,2017-01-08
864975,2017-01-21 01:52:26.210827,control,old_page,1,2017-01-21
936923,2017-01-10 15:20:49.083499,control,old_page,0,2017-01-10
679687,2017-01-19 03:26:46.940749,treatment,new_page,1,2017-01-19
719014,2017-01-17 01:48:29.539573,control,old_page,0,2017-01-17
817355,2017-01-04 17:58:08.979471,treatment,new_page,1,2017-01-04
839785,2017-01-15 18:11:06.610965,treatment,new_page,1,2017-01-15
929503,2017-01-18 05:37:11.527370,treatment,new_page,0,2017-01-18
834487,2017-01-21 22:37:47.774891,treatment,new_page,0,2017-01-21
803683,2017-01-09 06:05:16.222706,treatment,new_page,0,2017-01-09
944475,2017-01-22 01:31:09.573836,treatment,new_page,0,2017-01-22
718956,2017-01-22 11:45:11.327945,treatment,new_page,0,2017-01-22
644214,2017-01-22 02:05:21.719434,control,old_page,1,2017-01-22
847721,2017-01-17 14:01:00.090575,control,old_page,0,2017-01-17
888545,2017-01-08 06:37:26.332945,treatment,new_page,1,2017-01-08
650559,2017-01-24 11:55:51.084801,control,old_page,0,2017-01-24
935734,2017-01-17 20:33:37.428378,control,old_page,0,2017-01-17
740805,2017-01-12 18:59:45.453277,treatment,new_page,0,2017-01-12
759875,2017-01-09 16:11:58.806110,treatment,new_page,0,2017-01-09
793849,2017-01-23 22:36:10.742811,treatment,new_page,0,2017-01-23
905617,2017-01-20 14:12:19.345499,treatment,new_page,0,2017-01-20
746742,2017-01-23 11:38:29.592148,control,old_page,0,2017-01-23
892356,2017-01-05 09:35:14.904865,treatment,new_page,1,2017-01-05
773302,2017-01-12 08:29:49.810594,treatment,new_page,0,2017-01-12
913579,2017-01-24 09:11:39.164256,control,old_page,1,2017-01-24
736159,2017-01-06 01:50:21.318242,treatment,new_page,0,2017-01-06
690284,2017-01-13 17:22:57.182769,control,old_page,0,2017-01-13
826115,2017-01-05 11:27:16.756633,treatment,new_page,0,2017-01-05
875124,2017-01-05 15:39:25.439906,treatment,new_page,1,2017-01-05
931013,2017-01-07 03:23:57.932344,treatment,new_page,0,2017-01-07
710349,2017-01-11 22:24:44.226492,control,old_page,0,2017-01-11
677533,2017-01-23 17:48:50.491821,control,old_page,0,2017-01-23
831737,2017-01-11 21:18:20.911015,control,old_page,1,2017-01-11
648583,2017-01-19 09:03:05.545308,treatment,new_page,0,2017-01-19
728086,2017-01-03 17:07:00.837852,treatment,new_page,0,2017-01-03
870163,2017-01-02 21:33:49.325594,treatment,new_page,0,2017-01-02
771087,2017-01-16 00:05:29.983919,control,old_page,0,2017-01-16
739414,2017-01-03 13:25:55.139705,treatment,new_page,0,2017-01-03
896163,2017-01-22 09:10:20.753218,control,old_page,0,2017-01-22
862225,2017-01-08 14:49:37.335432,control,old_page,1,2017-01-08
939593,2017-01-05 09:15:31.984283,control,old_page,0,2017-01-05
702260,2017-01-18 13:55:31.488221,control,old_page,0,2017-01-18
943635,2017-01-22 13:37:39.722775,treatment,new_page,0,2017-01-22
800436,2017-01-20 07:47:47.224386,treatment,new_page,0,2017-01-20
698590,2017-01-23 11:51:59.925413,treatment,new_page,0,2017-01-23
830513,2017-01-12 00:50:01.470557,treatment,new_page,0,2017-01-12
670941,2017-01-05 08:16:41.306478,control,old_page,0,2017-01-05
850231,2017-01-18 17:18:04.790584,control,old_page,1,2017-01-18
916511,2017-01-22 06:20:04.691382,treatment,new_page,0,2017-01-22
897174,2017-01-17 02:03:25.962173,treatment,new_page,0,2017-01-17
906999,2017-01-22 19:16:44.715266,treatment,new_page,0,2017-01-22
685794,2017-01-20 14:54:58.150621,control,old_page,0,2017-01-20
757313,2017-01-09 11:23:17.561607,treatment,new_page,0,2017-01-09
714733,2017-01-03 08:22:37.904146,control,old_page,0,2017-01-03
710967,2017-01-10 02:19:22.842142,control,old_page,0,2017-01-10
680201,2017-01-11 10:38:45.952887,control,old_page,0,2017-01-11
790863,2017-01-19 11:02:39.220320,control,old_page,0,2017-01-19
717595,2017-01-23 18:19:08.148166,control,old_page,0,2017-01-23
779854,2017-01-11 21:28:30.735359,control,old_page,0,2017-01-11
916307,2017-01-19 17:27:38.676600,control,old_page,0,2017-01-19
731611,2017-01-24 01:29:50.630283,control,old_page,0,2017-01-24
742910,2017-01-07 11:15:45.087156,treatment,new_page,0,2017-01-07
897656,2017-01-08 08:57:54.769617,control,old_page,0,2017-01-08
834137,2017-01-24 12:20:07.638063,control,old_page,1,2017-01-24
791703,2017-01-05 20:15:02.407978,control,old_page,0,2017-01-05
850190,2017-01-10 04:55:19.405999,control,old_page,0,2017-01-10
812235,2017-01-11 08:48:42.056666,control,old_page,0,2017-01-11
729613,2017-01-12 09:09:56.782231,control,old_page,0,2017-01-12
817936,2017-01-03 20:00:34.440787,treatment,new_page,0,2017-01-03
776669,2017-01-15 11:44:47.122086,treatment,new_page,0,2017-01-15
640693,2017-01-19 20:22:19.970560,treatment,new_page,0,2017-01-19
781060,2017-01-13 06:23:14.698210,treatment,new_page,0,2017-01-13
827414,2017-01-10 04:37:21.834018,control,old_page,0,2017-01-10
689369,2017-01-07 19:27:21.810206,control,old_page,0,2017-01-07
741853,2017-01-22 11:25:53.339703,control,old_page,0,2017-01-22
819394,2017-01-07 09:27:23.256430,treatment,new_page,0,2017-01-07
696202,2017-01-14 11:50:10.441615,control,old_page,1,2017-01-14
637366,2017-01-22 20:01:42.460468,treatment,new_page,0,2017-01-22
836770,2017-01-17 03:11:37.304372,treatment,new_page,0,2017-01-17
696678,2017-01-18 23:25:56.616734,control,old_page,0,2017-01-18
778778,2017-01-03 19:34:48.755147,control,old_page,0,2017-01-03
945236,2017-01-14 18:28:25.566921,treatment,new_page,0,2017-01-14
764145,2017-01-04 00:18:25.219608,treatment,new_page,0,2017-01-04
782624,2017-01-20 23:14:16.743551,treatment,new_page,0,2017-01-20
792499,2017-01-07 02:30:53.422520,treatment,new_page,1,2017-01-07
832316,2017-01-18 16:58:44.742092,control,old_page,1,2017-01-18
911824,2017-01-19 10:21:46.027492,control,old_page,0,2017-01-19
668255,2017-01-17 09:12:26.992601,control,old_page,0,2017-01-17
800421,2017-01-07 06:18:50.639016,treatment,new_page,0,2017-01-07
738570,2017-01-16 07:34:33.155620,control,old_page,0,2017-01-16
909364,2017-01-24 01:25:24.453824,control,old_page,0,2017-01-24
636946,2017-01-17 19:50:47.085491,control,old_page,0,2017-01-17
894540,2017-01-04 03:38:35.794542,treatment,new_page,0,2017-01-04
939580,2017-01-09 08:23:14.945700,control,old_page,0,2017-01-09
698331,2017-01-22 21:14:30.175017,control,old_page,0,2017-01-22
631524,2017-01-10 07:08:26.627109,treatment,new_page,0,2017-01-10
820916,2017-01-07 22:02:13.029908,control,old_page,0,2017-01-07
887581,2017-01-21 18:21:07.916208,control,old_page,0,2017-01-21
742392,2017-01-16 20:17:02.701927,control,old_page,0,2017-01-16
659648,2017-01-17 14:52:18.612689,control,old_page,0,2017-01-17
734232,2017-01-06 11:25:15.928549,treatment,new_page,0,2017-01-06
802440,2017-01-23 21:42:15.124685,treatment,new_page,0,2017-01-23
800982,2017-01-13 18:37:56.692974,treatment,new_page,1,2017-01-13
757160,2017-01-23 19:27:19.187404,control,old_page,0,2017-01-23
650929,2017-01-09 04:21:07.986573,treatment,new_page,0,2017-01-09
757812,2017-01-20 19:57:02.598584,control,old_page,0,2017-01-20
773860,2017-01-10 11:04:13.354438,treatment,new_page,0,2017-01-10
744902,2017-01-18 10:43:18.841634,treatment,new_page,0,2017-01-18
684929,2017-01-12 07:34:35.865307,treatment,new_page,0,2017-01-12
868502,2017-01-20 21:17:37.120529,treatment,new_page,1,2017-01-20
647522,2017-01-05 02:09:16.207640,control,old_page,0,2017-01-05
665159,2017-01-17 01:19:02.887829,control,old_page,0,2017-01-17
721847,2017-01-10 13:10:20.369701,control,old_page,0,2017-01-10
704513,2017-01-20 08:42:33.420608,treatment,new_page,1,2017-01-20
675405,2017-01-02 18:36:16.537971,control,old_page,0,2017-01-02
926415,2017-01-11 13:36:20.372138,treatment,new_page,0,2017-01-11
919227,2017-01-06 08:13:43.112208,control,old_page,0,2017-01-06
730785,2017-01-09 05:04:20.841761,control,old_page,0,2017-01-09
879953,2017-01-17 06:03:27.799318,control,old_page,0,2017-01-17
706463,2017-01-18 00:12:14.454595,treatment,new_page,0,2017-01-18
770912,2017-01-09 15:51:02.503427,treatment,new_page,0,2017-01-09
888539,2017-01-11 07:16:10.316593,control,old_page,0,2017-01-11
903977,2017-01-06 18:48:00.977241,treatment,new_page,1,2017-01-06
920254,2017-01-23 00:40:30.728885,treatment,new_page,0,2017-01-23
761924,2017-01-11 09:50:40.605810,control,old_page,0,2017-01-11
684529,2017-01-13 14:50:31.103763,treatment,new_page,0,2017-01-13
778727,2017-01-07 14:41:54.436157,treatment,new_page,0,2017-01-07
721615,2017-01-19 09:26:50.535235,control,old_page,0,2017-01-19
796510,2017-01-15 00:14:42.365867,control,old_page,0,2017-01-15
871947,2017-01-15 09:20:30.642029,control,old_page,0,2017-01-15
809512,2017-01-15 22:56:18.935602,control,old_page,0,2017-01-15
732099,2017-01-23 19:55:46.763472,treatment,new_page,1,2017-01-23
769648,2017-01-09 19:43:39.891976,treatment,new_page,0,2017-01-09
658404,2017-01-20 09:24:33.761802,treatment,new_page,0,2017-01-20
652015,2017-01-03 04:59:59.853514,treatment,new_page,1,2017-01-03
896902,2017-01-06 01:33:19.271173,treatment,new_page,0,2017-01-06
798294,2017-01-18 04:05:34.087233,treatment,new_page,0,2017-01-18
738778,2017-01-23 15:40:38.859046,control,old_page,0,2017-01-23
938283,2017-01-11 13:46:14.361746,control,old_page,1,2017-01-11
932725,2017-01-13 08:11:33.057811,treatment,new_page,0,2017-01-13
686611,2017-01-05 08:54:58.845685,control,old_page,0,2017-01-05
857251,2017-01-14 15:28:49.816813,control,old_page,1,2017-01-14
771871,2017-01-09 13:20:09.148080,control,old_page,0,2017-01-09
887171,2017-01-11 14:53:00.627386,treatment,new_page,0,2017-01-11
919633,2017-01-18 12:04:31.089462,treatment,new_page,0,2017-01-18
803036,2017-01-18 16:11:42.188776,treatment,new_page,1,2017-01-18
820420,2017-01-10 15:29:56.856836,control,old_page,0,2017-01-10
941969,2017-01-23 04:39:08.500954,treatment,new_page,0,2017-01-23
884825,2017-01-09 00:16:52.524156,treatment,new_page,0,2017-01-09
726740,2017-01-07 20:39:32.059992,control,old_page,0,2017-01-07
850887,2017-01-19 09:22:19.287661,control,old_page,0,2017-01-19
916494,2017-01-22 18:31:27.469039,control,old_page,0,2017-01-22
804852,2017-01-16 03:30:12.854733,control,old_page,0,2017-01-16
718429,2017-01-08 03:27:23.327870,control,old_page,0,2017-01-08
888569,2017-01-19 05:26:33.016830,treatment,new_page,0,2017-01-19
640327,2017-01-08 14:13:35.742414,treatment,new_page,0,2017-01-08
676448,2017-01-12 06:10:50.611813,treatment,new_page,0,2017-01-12
874669,2017-01-19 15:28:49.367517,control,old_page,0,2017-01-19
662835,2017-01-19 04:01:27.178633,control,old_page,0,2017-01-19
689445,2017-01-05 02:34:48.154924,treatment,new_page,0,2017-01-05
631625,2017-01-05 23:29:53.745686,control,old_page,0,2017-01-05
916276,2017-01-08 22:18:32.977546,control,old_page,1,2017-01-08
810925,2017-01-16 12:21:52.622601,treatment,new_page,0,2017-01-16
678160,2017-01-18 09:02:10.711673,treatment,new_page,1,2017-01-18
686917,2017-01-14 13:21:32.344730,control,old_page,0,2017-01-14
714092,2017-01-04 22:23:36.095670,treatment,new_page,0,2017-01-04
738189,2017-01-07 15:53:02.836289,treatment,new_page,0,2017-01-07
792608,2017-01-11 01:31:13.221518,control,old_page,0,2017-01-11
819791,2017-01-21 04:57:38.608623,treatment,new_page,0,2017-01-21
836391,2017-01-14 22:06:22.568338,treatment,new_page,0,2017-01-14
923958,2017-01-02 22:27:30.392370,control,old_page,0,2017-01-02
701936,2017-01-09 06:08:17.758250,treatment,new_page,0,2017-01-09
630374,2017-01-07 03:55:49.897243,treatment,new_page,0,2017-01-07
913777,2017-01-11 11:06:47.996648,treatment,new_page,0,2017-01-11
862691,2017-01-07 13:49:55.346219,control,old_page,1,2017-01-07
939335,2017-01-23 02:10:08.201537,treatment,new_page,0,2017-01-23
697626,2017-01-13 19:37:54.366310,treatment,new_page,0,2017-01-13
911150,2017-01-08 04:11:03.999353,treatment,new_page,0,2017-01-08
900137,2017-01-08 12:34:19.678387,treatment,new_page,0,2017-01-08
897941,2017-01-05 01:22:02.341061,control,old_page,1,2017-01-05
840818,2017-01-13 17:30:07.755412,control,old_page,0,2017-01-13
908396,2017-01-15 13:38:15.142102,treatment,new_page,0,2017-01-15
716162,2017-01-20 13:23:57.095969,treatment,new_page,1,2017-01-20
633828,2017-01-13 13:01:51.817606,control,old_page,0,2017-01-13
839629,2017-01-15 01:31:35.928411,treatment,new_page,0,2017-01-15
648580,2017-01-06 16:00:08.747153,control,old_page,0,2017-01-06
859483,2017-01-06 10:51:09.570850,treatment,new_page,1,2017-01-06
636597,2017-01-13 13:18:17.998612,treatment,new_page,0,2017-01-13
656468,2017-01-18 07:13:29.805052,treatment,new_page,1,2017-01-18
724109,2017-01-19 15:40:41.197365,control,old_page,1,2017-01-19
799741,2017-01-15 17:44:53.095058,control,old_page,0,2017-01-15
755586,2017-01-10 18:15:11.894278,control,old_page,0,2017-01-10
824645,2017-01-11 05:02:22.343273,treatment,new_page,0,2017-01-11
827170,2017-01-07 10:12:20.828410,treatment,new_page,0,2017-01-07
841403,2017-01-22 17:53:32.580395,treatment,new_page,0,2017-01-22
866989,2017-01-09 05:26:18.545489,treatment,new_page,0,2017-01-09
718691,2017-01-22 14:22:27.151128,treatment,new_page,0,2017-01-22
790624,2017-01-09 18:30:46.724452,treatment,new_page,0,2017-01-09
810175,2017-01-23 13:35:02.416770,control,old_page,0,2017-01-23
720371,2017-01-11 23:54:47.570911,treatment,new_page,0,2017-01-11
786598,2017-01-17 07:41:06.211199,control,old_page,0,2017-01-17
853881,2017-01-04 23:53:01.750197,control,old_page,0,2017-01-04
807785,2017-01-17 05:54:12.353372,control,old_page,1,2017-01-17
793245,2017-01-08 03:34:39.111786,control,old_page,0,2017-01-08
631705,2017-01-05 23:12:23.036051,control,old_page,0,2017-01-05
755245,2017-01-14 17:10:54.252501,treatment,new_page,0,2017-01-14
939188,2017-01-19 20:37:23.918970,control,old_page,1,2017-01-19
817695,2017-01-02 14:27:16.119037,control,old_page,0,2017-01-02
814201,2017-01-21 01:01:45.030428,control,old_page,0,2017-01-21
668672,2017-01-08 11:07:37.301546,treatment,new_page,0,2017-01-08
883848,2017-01-06 21:19:14.869393,treatment,new_page,0,2017-01-06
817234,2017-01-16 10:40:45.866817,control,old_page,0,2017-01-16
678020,2017-01-17 17:46:28.333330,treatment,new_page,0,2017-01-17
701757,2017-01-13 22:34:44.090204,treatment,new_page,0,2017-01-13
928902,2017-01-13 19:50:52.612378,control,old_page,0,2017-01-13
699302,2017-01-10 04:54:02.841910,control,old_page,0,2017-01-10
847598,2017-01-14 18:11:57.189832,control,old_page,0,2017-01-14
810446,2017-01-16 18:59:10.325923,control,old_page,0,2017-01-16
746573,2017-01-23 17:11:06.079911,treatment,new_page,0,2017-01-23
872680,2017-01-17 05:48:00.742736,treatment,new_page,0,2017-01-17
674349,2017-01-19 03:29:09.727566,treatment,new_page,0,2017-01-19
785566,2017-01-06 13:43:12.148289,control,old_page,0,2017-01-06
773693,2017-01-23 18:05:45.167335,control,old_page,1,2017-01-23
920783,2017-01-09 14:49:12.018870,control,old_page,0,2017-01-09
649489,2017-01-19 14:00:33.976128,treatment,new_page,0,2017-01-19
769941,2017-01-19 10:39:48.828865,treatment,new_page,0,2017-01-19
670510,2017-01-23 18:14:03.254216,control,old_page,0,2017-01-23
800450,2017-01-14 15:11:03.149331,control,old_page,0,2017-01-14
900119,2017-01-15 10:57:56.949876,treatment,new_page,0,2017-01-15
786820,2017-01-20 20:37:19.467394,treatment,new_page,0,2017-01-20
882195,2017-01-12 16:21:33.536921,treatment,new_page,0,2017-01-12
746858,2017-01-20 09:44:48.534145,treatment,new_page,1,2017-01-20
733451,2017-01-07 16:08:54.815722,control,old_page,0,2017-01-07
836142,2017-01-18 09:32:49.913290,treatment,new_page,0,2017-01-18
680519,2017-01-10 07:06:41.561122,treatment,new_page,1,2017-01-10
810338,2017-01-12 23:20:26.085000,treatment,new_page,1,2017-01-12
673630,2017-01-15 03:45:20.484373,treatment,new_page,0,2017-01-15
803931,2017-01-07 12:52:50.683005,control,old_page,0,2017-01-07
740613,2017-01-04 13:42:04.808136,treatment,new_page,0,2017-01-04
945850,2017-01-19 16:27:40.981237,control,old_page,0,2017-01-19
925680,2017-01-21 06:24:10.822902,control,old_page,0,2017-01-21
704650,2017-01-04 19:10:52.655062,treatment,new_page,0,2017-01-04
731709,2017-01-15 10:43:30.375007,control,old_page,0,2017-01-15
780678,2017-01-03 23:28:09.040018,control,old_page,0,2017-01-03
662317,2017-01-13 15:17:13.065439,treatment,new_page,0,2017-01-13
881659,2017-01-20 01:07:32.959456,control,old_page,0,2017-01-20
668166,2017-01-22 17:34:43.520897,control,old_page,0,2017-01-22
921060,2017-01-18 14:38:55.802167,treatment,new_page,0,2017-01-18
662210,2017-01-08 04:17:28.613876,treatment,new_page,1,2017-01-08
767076,2017-01-16 18:15:40.582430,treatment,new_page,0,2017-01-16
